date,SKU,demand,stock_level,lead_time,reorder_point
2020-06-09,SKU_A,49,286,7,150
2020-06-10,SKU_A,67,237,7,150
2020-06-11,SKU_A,70,170,7,150
2020-06-12,SKU_A,50,400,7,150
2020-06-13,SKU_A,68,350,7,150
2020-06-14,SKU_A,62,282,7,150
2020-06-15,SKU_A,66,220,7,150
2020-06-16,SKU_A,76,154,7,150
2020-06-17,SKU_A,54,378,7,150
2020-06-18,SKU_A,49,324,7,150
2020-06-19,SKU_A,47,275,7,150
2020-06-20,SKU_A,48,228,7,150
2020-06-21,SKU_A,55,180,7,150
2020-06-22,SKU_A,59,425,7,150
2020-06-23,SKU_A,58,366,7,150
2020-06-24,SKU_A,63,308,7,150
2020-06-25,SKU_A,54,245,7,150
2020-06-26,SKU_A,68,191,7,150
2020-06-27,SKU_A,51,423,7,150
2020-06-28,SKU_A,80,372,7,150
2020-06-29,SKU_A,59,292,7,150
2020-06-30,SKU_A,44,233,7,150
2020-07-01,SKU_A,41,189,7,150
2020-07-02,SKU_A,57,448,7,150
2020-07-03,SKU_A,49,391,7,150
2020-07-04,SKU_A,58,342,7,150
2020-07-05,SKU_A,56,284,7,150
2020-07-06,SKU_A,50,228,7,150
2020-07-07,SKU_A,42,178,7,150
2020-07-08,SKU_A,35,436,7,150
2020-07-09,SKU_A,45,401,7,150
2020-07-10,SKU_A,58,356,7,150
2020-07-11,SKU_A,51,298,7,150
2020-07-12,SKU_A,36,247,7,150
2020-07-13,SKU_A,50,211,7,150
2020-07-14,SKU_A,52,161,7,150
2020-07-15,SKU_A,39,409,7,150
2020-07-16,SKU_A,49,370,7,150
2020-07-17,SKU_A,48,321,7,150
2020-07-18,SKU_A,35,273,7,150
2020-07-19,SKU_A,50,238,7,150
2020-07-20,SKU_A,52,188,7,150
2020-07-21,SKU_A,57,436,7,150
2020-07-22,SKU_A,56,379,7,150
2020-07-23,SKU_A,31,323,7,150
2020-07-24,SKU_A,35,292,7,150
2020-07-25,SKU_A,50,257,7,150
2020-07-26,SKU_A,49,207,7,150
2020-07-27,SKU_A,49,158,7,150
2020-07-28,SKU_A,82,409,7,150
2020-07-29,SKU_A,49,327,7,150
2020-07-30,SKU_A,54,278,7,150
2020-07-31,SKU_A,52,224,7,150
2020-08-01,SKU_A,49,172,7,150
2020-08-02,SKU_A,39,423,7,150
2020-08-03,SKU_A,49,384,7,150
2020-08-04,SKU_A,34,335,7,150
2020-08-05,SKU_A,39,301,7,150
2020-08-06,SKU_A,36,262,7,150
2020-08-07,SKU_A,42,226,7,150
2020-08-08,SKU_A,64,184,7,150
2020-08-09,SKU_A,22,420,7,150
2020-08-10,SKU_A,47,398,7,150
2020-08-11,SKU_A,24,351,7,150
2020-08-12,SKU_A,35,327,7,150
2020-08-13,SKU_A,50,292,7,150
2020-08-14,SKU_A,40,242,7,150
2020-08-15,SKU_A,28,202,7,150
2020-08-16,SKU_A,31,174,7,150
2020-08-17,SKU_A,45,443,7,150
2020-08-18,SKU_A,31,398,7,150
2020-08-19,SKU_A,40,367,7,150
2020-08-20,SKU_A,38,327,7,150
2020-08-21,SKU_A,31,289,7,150
2020-08-22,SKU_A,59,258,7,150
2020-08-23,SKU_A,43,199,7,150
2020-08-24,SKU_A,17,156,7,150
2020-08-25,SKU_A,38,439,7,150
2020-08-26,SKU_A,30,401,7,150
2020-08-27,SKU_A,45,371,7,150
2020-08-28,SKU_A,28,326,7,150
2020-08-29,SKU_A,35,298,7,150
2020-08-30,SKU_A,41,263,7,150
2020-08-31,SKU_A,44,222,7,150
2020-09-01,SKU_A,23,178,7,150
2020-09-02,SKU_A,32,155,7,150
2020-09-03,SKU_A,30,423,7,150
2020-09-04,SKU_A,28,393,7,150
2020-09-05,SKU_A,52,365,7,150
2020-09-06,SKU_A,39,313,7,150
2020-09-07,SKU_A,22,274,7,150
2020-09-08,SKU_A,44,252,7,150
2020-09-09,SKU_A,56,208,7,150
2020-09-10,SKU_A,45,152,7,150
2020-09-11,SKU_A,19,407,7,150
2020-09-12,SKU_A,29,388,7,150
2020-09-13,SKU_A,47,359,7,150
2020-09-14,SKU_A,27,312,7,150
2020-09-15,SKU_A,38,285,7,150
2020-09-16,SKU_A,41,247,7,150
2020-09-17,SKU_A,24,206,7,150
2020-09-18,SKU_A,33,182,7,150
2020-09-19,SKU_A,1,449,7,150
2020-09-20,SKU_A,23,448,7,150
2020-09-21,SKU_A,31,425,7,150
2020-09-22,SKU_A,21,394,7,150
2020-09-23,SKU_A,50,373,7,150
2020-09-24,SKU_A,19,323,7,150
2020-09-25,SKU_A,29,304,7,150
2020-09-26,SKU_A,35,275,7,150
2020-09-27,SKU_A,48,240,7,150
2020-09-28,SKU_A,19,192,7,150
2020-09-29,SKU_A,45,173,7,150
2020-09-30,SKU_A,33,428,7,150
2020-10-01,SKU_A,23,395,7,150
2020-10-02,SKU_A,38,372,7,150
2020-10-03,SKU_A,35,334,7,150
2020-10-04,SKU_A,27,299,7,150
2020-10-05,SKU_A,34,272,7,150
2020-10-06,SKU_A,30,238,7,150
2020-10-07,SKU_A,35,208,7,150
2020-10-08,SKU_A,40,173,7,150
2020-10-09,SKU_A,49,433,7,150
2020-10-10,SKU_A,21,384,7,150
2020-10-11,SKU_A,55,363,7,150
2020-10-12,SKU_A,14,308,7,150
2020-10-13,SKU_A,32,294,7,150
2020-10-14,SKU_A,40,262,7,150
2020-10-15,SKU_A,37,222,7,150
2020-10-16,SKU_A,28,185,7,150
2020-10-17,SKU_A,32,157,7,150
2020-10-18,SKU_A,29,425,7,150
2020-10-19,SKU_A,29,396,7,150
2020-10-20,SKU_A,43,367,7,150
2020-10-21,SKU_A,38,324,7,150
2020-10-22,SKU_A,28,286,7,150
2020-10-23,SKU_A,44,258,7,150
2020-10-24,SKU_A,38,214,7,150
2020-10-25,SKU_A,43,176,7,150
2020-10-26,SKU_A,42,433,7,150
2020-10-27,SKU_A,27,391,7,150
2020-10-28,SKU_A,30,364,7,150
2020-10-29,SKU_A,43,334,7,150
2020-10-30,SKU_A,42,291,7,150
2020-10-31,SKU_A,36,249,7,150
2020-11-01,SKU_A,38,213,7,150
2020-11-02,SKU_A,49,175,7,150
2020-11-03,SKU_A,31,426,7,150
2020-11-04,SKU_A,43,395,7,150
2020-11-05,SKU_A,35,352,7,150
2020-11-06,SKU_A,35,317,7,150
2020-11-07,SKU_A,49,282,7,150
2020-11-08,SKU_A,46,233,7,150
2020-11-09,SKU_A,46,187,7,150
2020-11-10,SKU_A,51,441,7,150
2020-11-11,SKU_A,39,390,7,150
2020-11-12,SKU_A,46,351,7,150
2020-11-13,SKU_A,36,305,7,150
2020-11-14,SKU_A,43,269,7,150
2020-11-15,SKU_A,38,226,7,150
2020-11-16,SKU_A,41,188,7,150
2020-11-17,SKU_A,46,447,7,150
2020-11-18,SKU_A,32,401,7,150
2020-11-19,SKU_A,62,369,7,150
2020-11-20,SKU_A,31,307,7,150
2020-11-21,SKU_A,29,276,7,150
2020-11-22,SKU_A,53,247,7,150
2020-11-23,SKU_A,50,194,7,150
2020-11-24,SKU_A,48,444,7,150
2020-11-25,SKU_A,49,396,7,150
2020-11-26,SKU_A,43,347,7,150
2020-11-27,SKU_A,34,304,7,150
2020-11-28,SKU_A,44,270,7,150
2020-11-29,SKU_A,37,226,7,150
2020-11-30,SKU_A,54,189,7,150
2020-12-01,SKU_A,43,435,7,150
2020-12-02,SKU_A,36,392,7,150
2020-12-03,SKU_A,42,356,7,150
2020-12-04,SKU_A,49,314,7,150
2020-12-05,SKU_A,40,265,7,150
2020-12-06,SKU_A,38,225,7,150
2020-12-07,SKU_A,49,187,7,150
2020-12-08,SKU_A,49,438,7,150
2020-12-09,SKU_A,42,389,7,150
2020-12-10,SKU_A,42,347,7,150
2020-12-11,SKU_A,50,305,7,150
2020-12-12,SKU_A,33,255,7,150
2020-12-13,SKU_A,34,222,7,150
2020-12-14,SKU_A,41,188,7,150
2020-12-15,SKU_A,47,447,7,150
2020-12-16,SKU_A,52,400,7,150
2020-12-17,SKU_A,64,348,7,150
2020-12-18,SKU_A,58,284,7,150
2020-12-19,SKU_A,49,226,7,150
2020-12-20,SKU_A,50,177,7,150
2020-12-21,SKU_A,41,427,7,150
2020-12-22,SKU_A,51,386,7,150
2020-12-23,SKU_A,49,335,7,150
2020-12-24,SKU_A,55,286,7,150
2020-12-25,SKU_A,44,231,7,150
2020-12-26,SKU_A,58,187,7,150
2020-12-27,SKU_A,68,429,7,150
2020-12-28,SKU_A,52,361,7,150
2020-12-29,SKU_A,58,309,7,150
2020-12-30,SKU_A,61,251,7,150
2020-12-31,SKU_A,50,190,7,150
2021-01-01,SKU_A,57,440,7,150
2021-01-02,SKU_A,55,383,7,150
2021-01-03,SKU_A,57,328,7,150
2021-01-04,SKU_A,48,271,7,150
2021-01-05,SKU_A,57,223,7,150
2021-01-06,SKU_A,62,166,7,150
2021-01-07,SKU_A,72,404,7,150
2021-01-08,SKU_A,67,332,7,150
2021-01-09,SKU_A,79,265,7,150
2021-01-10,SKU_A,50,186,7,150
2021-01-11,SKU_A,67,436,7,150
2021-01-12,SKU_A,61,369,7,150
2021-01-13,SKU_A,81,308,7,150
2021-01-14,SKU_A,51,227,7,150
2021-01-15,SKU_A,51,176,7,150
2021-01-16,SKU_A,54,425,7,150
2021-01-17,SKU_A,39,371,7,150
2021-01-18,SKU_A,56,332,7,150
2021-01-19,SKU_A,54,276,7,150
2021-01-20,SKU_A,63,222,7,150
2021-01-21,SKU_A,65,159,7,150
2021-01-22,SKU_A,81,394,7,150
2021-01-23,SKU_A,72,313,7,150
2021-01-24,SKU_A,57,241,7,150
2021-01-25,SKU_A,54,184,7,150
2021-01-26,SKU_A,68,430,7,150
2021-01-27,SKU_A,51,362,7,150
2021-01-28,SKU_A,82,311,7,150
2021-01-29,SKU_A,76,229,7,150
2021-01-30,SKU_A,60,153,7,150
2021-01-31,SKU_A,48,393,7,150
2021-02-01,SKU_A,79,345,7,150
2021-02-02,SKU_A,65,266,7,150
2021-02-03,SKU_A,78,201,7,150
2021-02-04,SKU_A,50,423,7,150
2021-02-05,SKU_A,61,373,7,150
2021-02-06,SKU_A,67,312,7,150
2021-02-07,SKU_A,68,245,7,150
2021-02-08,SKU_A,63,177,7,150
2021-02-09,SKU_A,74,414,7,150
2021-02-10,SKU_A,57,340,7,150
2021-02-11,SKU_A,67,283,7,150
2021-02-12,SKU_A,70,216,7,150
2021-02-13,SKU_A,74,446,7,150
2021-02-14,SKU_A,76,372,7,150
2021-02-15,SKU_A,58,296,7,150
2021-02-16,SKU_A,54,238,7,150
2021-02-17,SKU_A,83,184,7,150
2021-02-18,SKU_A,73,401,7,150
2021-02-19,SKU_A,63,328,7,150
2021-02-20,SKU_A,86,265,7,150
2021-02-21,SKU_A,72,179,7,150
2021-02-22,SKU_A,83,407,7,150
2021-02-23,SKU_A,72,324,7,150
2021-02-24,SKU_A,92,252,7,150
2021-02-25,SKU_A,89,160,7,150
2021-02-26,SKU_A,69,371,7,150
2021-02-27,SKU_A,82,302,7,150
2021-02-28,SKU_A,79,220,7,150
2021-03-01,SKU_A,86,441,7,150
2021-03-02,SKU_A,63,355,7,150
2021-03-03,SKU_A,80,292,7,150
2021-03-04,SKU_A,84,212,7,150
2021-03-05,SKU_A,56,428,7,150
2021-03-06,SKU_A,62,372,7,150
2021-03-07,SKU_A,53,310,7,150
2021-03-08,SKU_A,71,257,7,150
2021-03-09,SKU_A,81,186,7,150
2021-03-10,SKU_A,89,405,7,150
2021-03-11,SKU_A,75,316,7,150
2021-03-12,SKU_A,91,241,7,150
2021-03-13,SKU_A,61,450,7,150
2021-03-14,SKU_A,57,389,7,150
2021-03-15,SKU_A,74,332,7,150
2021-03-16,SKU_A,79,258,7,150
2021-03-17,SKU_A,75,179,7,150
2021-03-18,SKU_A,54,404,7,150
2021-03-19,SKU_A,74,350,7,150
2021-03-20,SKU_A,62,276,7,150
2021-03-21,SKU_A,82,214,7,150
2021-03-22,SKU_A,79,432,7,150
2021-03-23,SKU_A,66,353,7,150
2021-03-24,SKU_A,70,287,7,150
2021-03-25,SKU_A,65,217,7,150
2021-03-26,SKU_A,75,152,7,150
2021-03-27,SKU_A,85,377,7,150
2021-03-28,SKU_A,66,292,7,150
2021-03-29,SKU_A,81,226,7,150
2021-03-30,SKU_A,70,445,7,150
2021-03-31,SKU_A,68,375,7,150
2021-04-01,SKU_A,75,307,7,150
2021-04-02,SKU_A,65,232,7,150
2021-04-03,SKU_A,70,167,7,150
2021-04-04,SKU_A,64,397,7,150
2021-04-05,SKU_A,95,333,7,150
2021-04-06,SKU_A,76,238,7,150
2021-04-07,SKU_A,69,162,7,150
2021-04-08,SKU_A,78,393,7,150
2021-04-09,SKU_A,75,315,7,150
2021-04-10,SKU_A,73,240,7,150
2021-04-11,SKU_A,82,167,7,150
2021-04-12,SKU_A,83,385,7,150
2021-04-13,SKU_A,70,302,7,150
2021-04-14,SKU_A,70,232,7,150
2021-04-15,SKU_A,73,162,7,150
2021-04-16,SKU_A,52,389,7,150
2021-04-17,SKU_A,60,337,7,150
2021-04-18,SKU_A,89,277,7,150
2021-04-19,SKU_A,92,188,7,150
2021-04-20,SKU_A,72,396,7,150
2021-04-21,SKU_A,81,324,7,150
2021-04-22,SKU_A,78,243,7,150
2021-04-23,SKU_A,105,165,7,150
2021-04-24,SKU_A,86,360,7,150
2021-04-25,SKU_A,73,274,7,150
2021-04-26,SKU_A,65,201,7,150
2021-04-27,SKU_A,58,436,7,150
2021-04-28,SKU_A,76,378,7,150
2021-04-29,SKU_A,66,302,7,150
2021-04-30,SKU_A,60,236,7,150
2021-05-01,SKU_A,67,176,7,150
2021-05-02,SKU_A,63,409,7,150
2021-05-03,SKU_A,90,346,7,150
2021-05-04,SKU_A,82,256,7,150
2021-05-05,SKU_A,73,174,7,150
2021-05-06,SKU_A,88,401,7,150
2021-05-07,SKU_A,73,313,7,150
2021-05-08,SKU_A,64,240,7,150
2021-05-09,SKU_A,87,176,7,150
2021-05-10,SKU_A,77,389,7,150
2021-05-11,SKU_A,61,312,7,150
2021-05-12,SKU_A,70,251,7,150
2021-05-13,SKU_A,63,181,7,150
2021-05-14,SKU_A,57,418,7,150
2021-05-15,SKU_A,80,361,7,150
2021-05-16,SKU_A,90,281,7,150
2021-05-17,SKU_A,57,191,7,150
2021-05-18,SKU_A,76,434,7,150
2021-05-19,SKU_A,64,358,7,150
2021-05-20,SKU_A,65,294,7,150
2021-05-21,SKU_A,64,229,7,150
2021-05-22,SKU_A,61,165,7,150
2021-05-23,SKU_A,70,404,7,150
2021-05-24,SKU_A,60,334,7,150
2021-05-25,SKU_A,71,274,7,150
2021-05-26,SKU_A,68,203,7,150
2021-05-27,SKU_A,66,435,7,150
2021-05-28,SKU_A,59,369,7,150
2021-05-29,SKU_A,62,310,7,150
2021-05-30,SKU_A,75,248,7,150
2021-05-31,SKU_A,72,173,7,150
2021-06-01,SKU_A,57,401,7,150
2021-06-02,SKU_A,67,344,7,150
2021-06-03,SKU_A,74,277,7,150
2021-06-04,SKU_A,49,203,7,150
2021-06-05,SKU_A,71,154,7,150
2021-06-06,SKU_A,59,383,7,150
2021-06-07,SKU_A,71,324,7,150
2021-06-08,SKU_A,57,253,7,150
2021-06-09,SKU_A,46,196,7,150
2021-06-10,SKU_A,48,450,7,150
2021-06-11,SKU_A,64,402,7,150
2021-06-12,SKU_A,66,338,7,150
2021-06-13,SKU_A,54,272,7,150
2021-06-14,SKU_A,69,218,7,150
2021-06-15,SKU_A,46,449,7,150
2021-06-16,SKU_A,61,403,7,150
2021-06-17,SKU_A,50,342,7,150
2021-06-18,SKU_A,55,292,7,150
2021-06-19,SKU_A,62,237,7,150
2021-06-20,SKU_A,52,175,7,150
2021-06-21,SKU_A,57,423,7,150
2021-06-22,SKU_A,70,366,7,150
2021-06-23,SKU_A,54,296,7,150
2021-06-24,SKU_A,68,242,7,150
2021-06-25,SKU_A,48,174,7,150
2021-06-26,SKU_A,64,426,7,150
2021-06-27,SKU_A,73,362,7,150
2021-06-28,SKU_A,33,289,7,150
2021-06-29,SKU_A,50,256,7,150
2021-06-30,SKU_A,63,206,7,150
2021-07-01,SKU_A,55,443,7,150
2021-07-02,SKU_A,61,388,7,150
2021-07-03,SKU_A,50,327,7,150
2021-07-04,SKU_A,57,277,7,150
2021-07-05,SKU_A,54,220,7,150
2021-07-06,SKU_A,67,166,7,150
2021-07-07,SKU_A,58,399,7,150
2021-07-08,SKU_A,58,341,7,150
2021-07-09,SKU_A,50,283,7,150
2021-07-10,SKU_A,49,233,7,150
2021-07-11,SKU_A,50,184,7,150
2021-07-12,SKU_A,57,434,7,150
2021-07-13,SKU_A,49,377,7,150
2021-07-14,SKU_A,56,328,7,150
2021-07-15,SKU_A,73,272,7,150
2021-07-16,SKU_A,61,199,7,150
2021-07-17,SKU_A,49,438,7,150
2021-07-18,SKU_A,64,389,7,150
2021-07-19,SKU_A,47,325,7,150
2021-07-20,SKU_A,31,278,7,150
2021-07-21,SKU_A,41,247,7,150
2021-07-22,SKU_A,32,206,7,150
2021-07-23,SKU_A,47,174,7,150
2021-07-24,SKU_A,50,427,7,150
2021-07-25,SKU_A,66,377,7,150
2021-07-26,SKU_A,52,311,7,150
2021-07-27,SKU_A,47,259,7,150
2021-07-28,SKU_A,57,212,7,150
2021-07-29,SKU_A,26,155,7,150
2021-07-30,SKU_A,50,429,7,150
2021-07-31,SKU_A,55,379,7,150
2021-08-01,SKU_A,33,324,7,150
2021-08-02,SKU_A,59,291,7,150
2021-08-03,SKU_A,50,232,7,150
2021-08-04,SKU_A,42,182,7,150
2021-08-05,SKU_A,53,440,7,150
2021-08-06,SKU_A,69,387,7,150
2021-08-07,SKU_A,48,318,7,150
2021-08-08,SKU_A,48,270,7,150
2021-08-09,SKU_A,41,222,7,150
2021-08-10,SKU_A,36,181,7,150
2021-08-11,SKU_A,53,445,7,150
2021-08-12,SKU_A,36,392,7,150
2021-08-13,SKU_A,45,356,7,150
2021-08-14,SKU_A,39,311,7,150
2021-08-15,SKU_A,49,272,7,150
2021-08-16,SKU_A,47,223,7,150
2021-08-17,SKU_A,54,176,7,150
2021-08-18,SKU_A,38,422,7,150
2021-08-19,SKU_A,40,384,7,150
2021-08-20,SKU_A,33,344,7,150
2021-08-21,SKU_A,38,311,7,150
2021-08-22,SKU_A,46,273,7,150
2021-08-23,SKU_A,50,227,7,150
2021-08-24,SKU_A,33,177,7,150
2021-08-25,SKU_A,50,444,7,150
2021-08-26,SKU_A,55,394,7,150
2021-08-27,SKU_A,45,339,7,150
2021-08-28,SKU_A,60,294,7,150
2021-08-29,SKU_A,33,234,7,150
2021-08-30,SKU_A,28,201,7,150
2021-08-31,SKU_A,23,173,7,150
2021-09-01,SKU_A,55,450,7,150
2021-09-02,SKU_A,47,395,7,150
2021-09-03,SKU_A,40,348,7,150
2021-09-04,SKU_A,43,308,7,150
2021-09-05,SKU_A,29,265,7,150
2021-09-06,SKU_A,64,236,7,150
2021-09-07,SKU_A,41,172,7,150
2021-09-08,SKU_A,41,431,7,150
2021-09-09,SKU_A,47,390,7,150
2021-09-10,SKU_A,44,343,7,150
2021-09-11,SKU_A,41,299,7,150
2021-09-12,SKU_A,31,258,7,150
2021-09-13,SKU_A,44,227,7,150
2021-09-14,SKU_A,58,183,7,150
2021-09-15,SKU_A,52,425,7,150
2021-09-16,SKU_A,55,373,7,150
2021-09-17,SKU_A,34,318,7,150
2021-09-18,SKU_A,29,284,7,150
2021-09-19,SKU_A,37,255,7,150
2021-09-20,SKU_A,39,218,7,150
2021-09-21,SKU_A,49,179,7,150
2021-09-22,SKU_A,21,430,7,150
2021-09-23,SKU_A,54,409,7,150
2021-09-24,SKU_A,37,355,7,150
2021-09-25,SKU_A,34,318,7,150
2021-09-26,SKU_A,28,284,7,150
2021-09-27,SKU_A,22,256,7,150
2021-09-28,SKU_A,46,234,7,150
2021-09-29,SKU_A,39,188,7,150
2021-09-30,SKU_A,25,449,7,150
2021-10-01,SKU_A,25,424,7,150
2021-10-02,SKU_A,35,399,7,150
2021-10-03,SKU_A,55,364,7,150
2021-10-04,SKU_A,36,309,7,150
2021-10-05,SKU_A,23,273,7,150
2021-10-06,SKU_A,36,250,7,150
2021-10-07,SKU_A,36,214,7,150
2021-10-08,SKU_A,12,178,7,150
2021-10-09,SKU_A,38,166,7,150
2021-10-10,SKU_A,36,428,7,150
2021-10-11,SKU_A,46,392,7,150
2021-10-12,SKU_A,57,346,7,150
2021-10-13,SKU_A,50,289,7,150
2021-10-14,SKU_A,36,239,7,150
2021-10-15,SKU_A,28,203,7,150
2021-10-16,SKU_A,65,175,7,150
2021-10-17,SKU_A,40,410,7,150
2021-10-18,SKU_A,40,370,7,150
2021-10-19,SKU_A,39,330,7,150
2021-10-20,SKU_A,42,291,7,150
2021-10-21,SKU_A,38,249,7,150
2021-10-22,SKU_A,34,211,7,150
2021-10-23,SKU_A,35,177,7,150
2021-10-24,SKU_A,40,442,7,150
2021-10-25,SKU_A,35,402,7,150
